mean_accelerometer_X,mean_accelerometer_Y,mean_accelerometer_Z,std_accelerometer_X,std_accelerometer_Y,std_accelerometer_Z,max_accelerometer_X,max_accelerometer_Y,max_accelerometer_Z,min_accelerometer_X,min_accelerometer_Y,min_accelerometer_Z,time_diff,activity
0.4137182,-0.0344764,9.7482316,0.0226121658560165,0.0428822228703223,0.0141238593627946,0.440533,0.033519,9.768343,0.387861,-0.071826,9.734824,0,idle
0.4194642,-0.0277726,9.7568508,0.0637594293747991,0.0608900514107189,0.017462807254276,0.488417,0.057461,9.77792,0.3304,-0.105345,9.739613,0,idle
0.4060563999999999,-0.0248995999999999,9.7625968,0.0305486103906544,0.0228141886728412,0.017064665575393,0.435745,0.009577,9.787497,0.3734949999999999,-0.0478839999999999,9.749189,0,idle
0.4012684,-0.0316037999999999,9.744401200000002,0.0145241242352163,0.0431753306901058,0.013960585077281,0.42138,0.02873,9.763555,0.387861,-0.0909799999999999,9.730036,0,idle
0.3667915999999999,-0.0201111999999999,9.7482316,0.0351222736279984,0.047451018426373,0.0141238593627946,0.411803,0.019154,9.758766,0.320823,-0.1005559999999999,9.725247,0,idle
0.3983952,-0.0383071999999999,9.7549354,0.1058007546296339,0.1053446704546556,0.0294008456562049,0.560243,0.086191,9.797073,0.268151,-0.205901,9.725247,0,idle
0.4137182,-0.0172382,9.7463162,0.0479557602296116,0.065533000295271,0.0160962782251051,0.45011,0.057461,9.773131,0.3304,-0.105345,9.734824,0,idle
0.4127601999999999,-0.0306455999999999,9.7616392,0.0533644993764581,0.0228643343178846,0.0196268997093277,0.488417,-0.014365,9.787497,0.3734949999999999,-0.062249,9.744401,0,idle
0.423295,-0.0248997999999999,9.7491894,0.0099293797137585,0.0465978584239661,0.016238003796649,0.435745,0.02873,9.773131,0.411803,-0.0909799999999999,9.730036,0,idle
0.3936067999999999,-0.0191537999999999,9.744401,0.0109193942689143,0.0237016637221946,0.0151425665757165,0.411803,0.019154,9.763555,0.3830719999999999,-0.0430959999999999,9.725247,0,idle
0.3648762,-0.0296879999999999,9.7587662,0.0357369699219169,0.0424792209792034,0.0058644866953552,0.416591,0.009577,9.768343,0.320823,-0.1005559999999999,9.753978,0,idle
0.3974376,-0.0411801999999999,9.7616392,0.1056163998808897,0.1063519825283008,0.0320501074522378,0.560243,0.086191,9.797073,0.268151,-0.205901,9.725247,0,idle
0.4070144000000001,-0.0191536,9.7539778,0.0519050191291747,0.0577594488962628,0.0200312545962551,0.45011,0.057461,9.77792,0.3304,-0.105345,9.734824,0,idle
0.4165908,-0.0306455999999999,9.7625968,0.0476441442697841,0.0284497357773319,0.017064665575393,0.488417,0.009577,9.787497,0.3734949999999999,-0.062249,9.749189,0,idle
0.4108451999999999,-0.0296883999999999,9.747274199999998,0.0186688431671595,0.0427483633172077,0.0129375554762095,0.435745,0.02873,9.763555,0.3926489999999999,-0.0909799999999999,9.730036,0,idle
0.3696647999999999,-0.0306457999999999,9.743443199999998,0.0363730809555638,0.0449956092991304,0.0137120375473524,0.411803,0.019154,9.758766,0.320823,-0.1005559999999999,9.725247,0,idle
0.4194639999999999,-0.0536299999999999,9.7616392,0.0809509039171274,0.0866157494050591,0.0243218349986176,0.560243,0.009577,9.797073,0.368707,-0.205901,9.730036,0,idle
0.3830724,-0.0162804,9.7616392,0.0739494319031593,0.0634890555946456,0.0373373208291649,0.469264,0.086191,9.80665,0.268151,-0.076614,9.720459,0,idle
0.4041411999999999,-0.0162803999999999,9.752062400000002,0.0637594894560801,0.0462521115928775,0.0149901045960326,0.488417,0.057461,9.77792,0.3304,-0.062249,9.739613,0,idle
0.413718,-0.0095768,9.7606816,0.0245568140034492,0.0285300682298518,0.0193323385238309,0.435745,0.02873,9.787497,0.3734949999999999,-0.038307,9.739613,0,idle
0.3955221999999999,-0.0411805999999999,9.741528,0.0149903122282359,0.0296339810319166,0.0164489503464508,0.42138,-0.019154,9.763555,0.3830719999999999,-0.0909799999999999,9.725247,0,idle
0.3734954,-0.0229841999999999,9.753977799999998,0.0416068520895296,0.0478120769858411,0.0058644866953552,0.416591,0.019154,9.758766,0.320823,-0.1005559999999999,9.744401,0,idle
0.3888184,-0.0325609999999999,9.7597238,0.105909071036432,0.1064489481042438,0.0311061499176608,0.560243,0.086191,9.797073,0.268151,-0.205901,9.725247,0,idle
0.405099,-0.0392647999999999,9.7788774,0.0407157668784465,0.0271716769578176,0.0389598970134672,0.469264,-0.009577,9.821015,0.35913,-0.076614,9.720459,0,idle
0.4232945999999999,-0.0258571999999999,9.7673852,0.04994669666054,0.0288498998126509,0.017397443179962,0.488417,0.009577,9.787497,0.3734949999999999,-0.062249,9.749189,0,idle
0.4156335999999999,-0.0306459999999999,9.7453588,0.015663424523392,0.042908950249336,0.0103809208021252,0.435745,0.02873,9.753978,0.3926489999999999,-0.0909799999999999,9.730036,0,idle
0.3792415999999999,-0.0354341999999999,9.7453586,0.0344300086813813,0.0434400060336091,0.0160252815669493,0.411803,0.019154,9.763555,0.320823,-0.1005559999999999,9.725247,0,idle
0.3763684,-0.0143651999999999,9.753020199999998,0.0259193723072145,0.0162383723999666,0.0141236559431329,0.416591,0.009577,9.768343,0.344765,-0.033519,9.730036,0,idle
0.4156335999999999,-0.0517146,9.776962,0.1092657253661916,0.1068252164486456,0.0314726326274113,0.560243,0.086191,9.80665,0.268151,-0.205901,9.725247,0,idle
0.3801989999999999,-0.0268149999999999,9.7721736,0.0146027000414306,0.0120188204912129,0.0357368627302394,0.397437,-0.009577,9.821015,0.35913,-0.0430959999999999,9.720459,0,idle
