mean_accelerometer_X,mean_accelerometer_Y,mean_accelerometer_Z,std_accelerometer_X,std_accelerometer_Y,std_accelerometer_Z,max_accelerometer_X,max_accelerometer_Y,max_accelerometer_Z,min_accelerometer_X,min_accelerometer_Y,min_accelerometer_Z,time_diff,activity
10.2615484,4.7079582,3.4629732000000004,3.9030374834080575,10.582506898069369,12.734224012446546,14.073117000000002,13.713987,22.237345,3.816358,-12.871228,-12.378023,0,running
5.016331599999999,11.088026799999998,4.0318356,8.117632464852566,13.250804873533522,11.051592893363305,19.009962,32.671276,18.579004,-0.871489,-2.710236,-6.971914999999999,0,running
5.792053,8.559750000000001,3.636313800000001,11.546087813594546,12.046400686537224,2.359897416011912,22.261288,25.924416,6.133945,-5.683835,-7.580042,0.067038,0,running
2.486139399999999,5.0939038,1.8109744,7.576701827151923,11.96331538076894,6.273454824338205,9.993398,16.050728,10.749966,-6.976703,-14.877569,-4.908113,0,running
3.9983172,6.4174184,0.0229842000000001,10.330663495667867,16.94701604908797,3.5041713493110898,18.722658,31.924286,5.631162000000001,-8.5473,-11.999739,-2.954445,0,running
1.623269,4.491522399999999,10.5986522,3.472557976430559,9.475978130947924,15.080676184601016,3.825935,18.918982,35.98964,-4.544194,-6.708553,-1.608903,0,running
10.8859562,6.792828999999999,2.6393678,7.1653163943865525,17.181748481327332,13.97762878302079,19.009962,32.671276,22.237345,-0.387861,-12.871228,-12.378023,0,running
2.2744918,11.3925692,4.229118000000001,6.053984228584486,8.60708651268777,9.165730445080523,10.596737,25.924416,18.579004,-5.683835,4.927267,-6.368576,0,running
4.5518568,5.768111,4.3938392,11.552369624255135,7.982540813300769,4.67995773421718,22.261288,12.215217,10.749966,-6.976703,-7.580042,-2.011129,0,running
6.143521799999999,6.9067934,0.5985503999999999,9.27753273785734,18.26134795811835,4.8183008437907136,18.722658,31.924286,5.631162000000001,-4.165911,-14.877569,-4.908113,0,running
1.9316422,1.826297,9.0740244,6.272122876946026,8.715135357420388,16.08464621246157,8.384495,10.989386,35.98964,-8.5473,-11.999739,-2.777274,0,running
5.132211,9.9397678,2.1203052,13.658457581175153,12.823544790004116,2.761404833884322,28.629864,26.125528,5.415684,-4.544194,-6.708553,-1.608903,0,running
7.0284186,12.5484898,4.7635038000000005,9.004990368150613,12.796667000388664,12.30543166861312,19.009962,32.671276,22.237345,-0.871489,-2.710236,-6.971914999999999,0,running
2.1423318,7.2592196,6.1253256,7.045862450380273,12.01002960084326,7.217104567547591,10.596737,25.924416,18.579004,-5.683835,-7.580042,0.067038,0,running
